,EHRAF_NAME,document_ID,culture_ID,document_publication_date,document_page_count,female_coauthor_present
2,Ainu,ab06-011,ab06,1964,164,0
4,Yi,ae04-001,ae04,1947,134,0
5,Manchu,ag04-002,ag04,1924,196,0
6,Mongolia,ah01-022,ah01,2001,204,0
7,Lepcha,ak05-001,ak05,1938,510,0
8,Cambodians,am04-083,am04,1952,281,1
9,Vietnamese,am11-004,am11,1942,360,0
10,Semang,an07-002,an07,1957,405,0
12,Burmese,ap04-002,ap04,1910,609,0
13,Garo,ar05-002,ar05,1909,172,0
14,Burusho,av07-002,av07,1939,310,1
15,Uttar Pradesh,aw19-002,aw19,1930,180,1
16,Gond,aw32-001,aw32,1949,427,0
18,Toda,aw60-001,aw60,1906,755,0
19,Vedda,ax05-001,ax05,1911,463,1
21,Albanians,eg01-002,eg01,1928,176,1
22,Imperial Romans,ei09-018,ei09,1897,315,0
23,Saami,ep04-017,ep04,1984,1160,0
24,Bambara,fa08-002,fa08,1924,403,0
26,Tallensi,fe11-003,fe11,1949,358,0
27,Akan,fe12-001,fe12,1923,348,0
30,Shilluk,fj23-017,fj23,1941,45,0
31,Ganda,fk07-002,fk07,1911,547,0
34,Ngonde and Nyakyusa,fn17-001,fn17,1951,278,1
38,Ovimbundu,fp13-001,fp13,1949,245,0
41,Tsonga,ft06-001,ft06,1927,559,0
42,San,fx10-018,fx10,1979,526,0
43,Khoi,fx13-015,fx13,1930,418,0
44,Tanala,fy08-001,fy08,1933,334,0
45,Basseri,ma10-001,ma10,1961,159,0
48,Rwala Bedouin,md04-001,md04,1947,206,0
51,Kaffa,mp14-003,mp14,1982,362,0
52,Fellahin,mr13-001,mr13,1954,316,0
54,Teda,ms22-002,ms22,1958,160,0
55,Tuareg,ms25-004,ms25,1908,69,0
56,Wolof,ms30-001,ms30,1957,110,0
57,Berbers of Morocco,mx03-001,mx03,1931,417,0
58,Aleut,na06-074,na06,1970,301,1
60,Kaska,nd12-006,nd12,1954,162,0
61,Nuxalk,ne06-002,ne06,1948,672,0
62,Ojibwa,ng06-031,ng06,1974,230,1
63,Innu,nh06-008,nh06,1947,492,0
64,Mi'kmaq,nj05-002,nj05,1910,452,0
65,Creek,nn11-001,nn11,1928,472,0
66,Comanche,no06-001,no06,1940,149,0
69,Omaha,nq21-001,nq21,1911,672,1
72,Pomo,ns18-001,ns18,1953,271,0
73,Yokuts,ns29-001,ns29,1948,301,1
74,Yurok,ns31-001,ns31,1952,207,0
76,Havasupai,nt14-001,nt14,1928,392,0
77,Zuni,nt23-003,nt23,1917,204,0
78,O'odham,nu79-002,nu79,1939,280,1
79,Ifugao,oa19-002,oa19,1919,187,0
81,Javanese,oe05-003,oe05,1969,468,0
83,Balinese,of07-002,of07,1938,417,0
85,Aranda,oi08-001,oi08,1927,646,0
88,Orokaiva,oj23-001,oj23,1930,335,0
89,Kapauku,oj29-001,oj29,1958,296,0
90,Trobriands,ol06-004,ol06,1926,132,0
